preco;ano;kms;cidade;estado;modelo_carro;marca
7495;2008;134997;Orlando; FL;Accord;Honda
7495;2008;111559;Crest hill; IL;Accord;Honda
7495;2009;83270;Pleasanton; CA;Accord;Honda
7495;2009;122025;El Paso; TX;Accord;Honda
7497;2007;138409;Merriam; KS;Accord;Honda
7499;2006;139136;San Leandro; CA;Accord;Honda
7499;2007;109426;San Diego; CA;Accord;Honda
7499;2007;110647;Baltimore; MD;Accord;Honda
7499;2007;87332;Phoenix; AZ;Accord;Honda
7499;2007;141722;Sanford; NC;Accord;Honda
7499;2007;127237;Durham; NC;Accord;Honda
7499;2008;124301;Burlington; NJ;Accord;Honda
7499;2009;133579;Phoenix; AZ;Accord;Honda
7499;2010;131911;Fredericksburg; VA;Accord;Honda
7500;2006;118350;Chamblee; GA;Accord;Honda
7500;2006;99303;Carmel; IN;Accord;Honda
7500;2007;109816;Corte Madera; CA;Accord;Honda
7500;2007;134932;Tempe; AZ;Accord;Honda
7500;2008;97050;Portsmouth; VA;Accord;Honda
7500;2008;139356;Sacramento; CA;Accord;Honda
7500;2008;144301;Eden; NC;Accord;Honda
7500;2009;133650;Saco; ME;Accord;Honda
7500;2009;140661;Orland Park; IL;Accord;Honda
7500;2009;107215;Fuquay Varina; NC;Accord;Honda
7500;2009;111108;Glen Burnie; MD;Accord;Honda
7500;2010;122334;Morristown; NJ;Accord;Honda
7500;2012;130888;Houston; TX;Accord;Honda
7525;2009;140595;Cumming; GA;Accord;Honda
7526;2007;103476;Phoenix; AZ;Accord;Honda
7539;2009;131776;Turnersville; NJ;Accord;Honda
7550;2007;101067;Boardman; OH;Accord;Honda
7550;2008;131092;Quakertown; PA;Accord;Honda
7550;2009;107585;Loganville; GA;Accord;Honda
7555;2009;121601;Sanford; FL;Accord;Honda
7555;2009;126903;Covina; CA;Accord;Honda
7559;2006;125236;N. Bellevue; NE;Accord;Honda
7563;2006;127444;Atlanta; GA;Accord;Honda
7566;2006;142915;Indianapolis; IN;Accord;Honda
7577;2007;110944;Coshocton; OH;Accord;Honda
7589;2006;119104;Centennial; CO;Accord;Honda
7595;2007;104297;Merritt Island; FL;Accord;Honda
7595;2008;122544;Paramus; NJ;Accord;Honda
7595;2010;143168;Hackettstown; NJ;Accord;Honda
7598;2006;100000;Sacramento; CA;Accord;Honda
7600;2009;139494;Orland Park; IL;Accord;Honda
7609;2010;121995;Cincinnati; OH;Accord;Honda
7612;2008;132275;Chantilly; VA;Accord;Honda
7634;2008;123107;Chantilly; VA;Accord;Honda
7650;2007;137404;Fairfield; OH;Accord;Honda
7665;2007;95145;Fredericksburg; VA;Accord;Honda
7667;2008;115806;Norfork; VA;Accord;Honda
7675;2008;140141;Salem; VA;Accord;Honda
7687;2006;107743;Forest City; NC;Accord;Honda
7688;2008;104065;Pleasanton; CA;Accord;Honda
7690;2010;111475;Oklahoma City; OK;Accord;Honda
7691;2010;131482;Roswell; GA;Accord;Honda
7692;2012;130705;Sanford; FL;Accord;Honda
7695;2006;74340;Stafford; VA;Accord;Honda
7695;2008;103587;Baltimore; MD;Accord;Honda
7695;2008;131138;Columbus; OH;Accord;Honda
7696;2008;141292;Lansing; MI;Accord;Honda
7699;2007;76366;Hollywood; FL;Accord;Honda
7699;2009;113657;Indianapolis; IN;Accord;Honda
7700;2007;115929;Saco; ME;Accord;Honda
7700;2007;113575;Frederick; MD;Accord;Honda
7700;2008;126226;Fayetteville; GA;Accord;Honda
7750;2007;100300;Norcross; GA;Accord;Honda
7750;2008;141362;St Louis; MO;Accord;Honda
